open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1709038800,56786.96,57200.0,56605.93,57112.29,3976.70789,1709042399,226385343.00238112,140993,2103.48026,119757038.2214587,0
1709042400,57112.28,57331.28,56650.01,56976.33,3558.50211,1709045999,202609983.66734567,111841,1874.21543,106722671.6721931,0
1709046000,56976.34,57299.0,56600.0,56745.66,3729.37291,1709049599,212530710.64656913,108512,1871.15452,106679911.7198585,0
1709049600,56745.66,57168.97,56209.0,57040.01,3704.59835,1709053199,210359964.8150803,120241,2004.87039,113898010.8587433,0
1709053200,57040.01,57200.0,56660.0,56759.99,2208.82915,1709056799,125832939.7348281,79476,1056.16135,60176334.8818775,0
1709056800,56759.99,57128.77,56676.0,57111.1,1626.52377,1709060399,92641845.586956,68098,877.65984,49985998.1037892,0
1709060400,57111.11,57588.15,56916.01,57339.68,2462.06569,1709063999,140934176.7992007,87958,1399.5754,80122711.7843475,0
1709064000,57339.69,57359.0,56681.51,56967.89,3409.81369,1709067599,194415433.066771,94268,1595.13783,90943953.3082154,0
1709067600,56967.89,57000.0,56579.84,56703.32,1680.98419,1709071199,95404304.0274683,59174,802.95464,45575876.7747085,0
1709071200,56703.33,56992.28,56634.28,56892.91,1041.03225,1709074799,59158647.5221927,45357,581.16366,33022628.8257694,0
1709074800,56892.91,57105.45,56843.46,57037.34,1059.18312,1709078399,60361539.3229701,40696,552.30947,31474134.2572917,0
1709078400,57037.35,57100.0,56868.72,57015.34,1079.69837,1709081999,61550533.4195184,46732,535.16161,30509120.3487931,0
1709082000,57015.34,57101.1,56763.86,56772.64,1052.14505,1709085599,59859251.7878308,49622,445.09735,25326211.1475651,0
1709085600,56772.64,56978.99,56691.85,56925.1,815.151,1709089199,46332728.8910155,40661,385.1791,21895414.1599897,0
1709089200,56925.1,56964.09,56842.01,56916.4,656.54154,1709092799,37364452.3168462,34121,359.03102,20433358.2554166,0
1709092800,56916.39,57271.44,56894.16,57207.5,1183.99506,1709096399,67561554.9654273,68827,701.49651,40035049.7053195,0
